Компания,Дата,Статус,Откликов
СберМаркетинг,15.09.2026,Отказ,3
Российский производитель фасадных и кровельных решений,15.09.2026,Отказ,1
Правительство Москвы,15.09.2026,Ответ работодателя,1
М.Видео-Эльдорадо. Офис,15.09.2026,Ответ работодателя,1
Крупная розничная сеть,15.09.2026,Ответ работодателя,1
Гипер,15.09.2026,Отклик,1
СалютДевайсы,08.09.2026,Отклик,1
Диплей,08.09.2026,Отклик,1
UZUM TECHNOLOGIES. Операции,08.09.2026,Отказ,1
Ozon Офис и Коммерция,08.09.2026,Ответ работодателя (ранее отказ),2
Ливинцева Юлия Дмитриевна,07.09.2026,Отказ,1
Aviasales.ru,05.09.2026,Отказ,1
Сеть клиник Подружки,04.09.2026,Отклик,1
IN HOUSE,04.09.2026,Отклик,1
IBMM,04.09.2026,Отклик,1
ANCOR,04.09.2026,Отказ,5
Яндекс Такси,03.09.2026,Ответ работодателя,1
Стафф Контракт,03.09.2026,Отказ,1
Панда Гифтс,03.09.2026,Ответ работодателя,2
Aplaut,03.09.2026,Отклик,1
Хоум Эксперт,02.09.2026,Отклик,1
Топассистент,02.09.2026,Отказ,2
"«Почта России», Офис",02.09.2026,Отклик,1
"""МТС"", Продажи и развитие",02.09.2026,Отказ,5
"МегаФон, Офис",01.09.2026,Ответ работодателя,2
Киго,01.09.2026,Отказ,1
Имарк,01.09.2026,Собеседование,1
OPEN,01.09.2026,Ответ работодателя,3
Hoff.Офис,01.09.2026,Ответ работодателя (ранее отказ),2
HD LED TECH,01.09.2026,Ответ работодателя,1
Четвероногий гурман,31.08.2026,Отказ,1
Мармеладыч,31.08.2026,Отклик,1
Лаборатории Весслинг,31.08.2026,Отклик,1
Крупная компания в сфере автоматизации розничной торговли,31.08.2026,Отклик,1
КАЛИНОВ РОДНИК,31.08.2026,Отказ,1
Известный международный производитель товаров в сегменте Мебель,31.08.2026,Ответ работодателя,1
RWB (Wildberries & Russ),31.08.2026,Отклик (ранее отказ),4
Nordgold,31.08.2026,Отклик,1
Диорит,30.08.2026,Отказ,1
БАНК УРАЛСИБ,30.08.2026,Ответ работодателя,3
КСК-Эйч Ар,29.08.2026,Отказ,1
Пятёрочка. Транспорт,28.08.2026,Ответ работодателя,1
"Подружка, сеть магазинов",28.08.2026,Отказ,1
Папатулз Промышленные Системы,28.08.2026,Отказ,1
НАША ИГРА,28.08.2026,Ответ работодателя,1
МАСТЕРФУД,28.08.2026,Ответ работодателя,1
Motosurfing,28.08.2026,Отклик,1
Job Offer,28.08.2026,Отклик,1
Haier,28.08.2026,Отклик,1
Твой Дом,27.08.2026,Ответ работодателя,2
Московская Биржа,27.08.2026,Отказ,4
Горенье БТ,27.08.2026,Отклик,1
StaffRecruitment,27.08.2026,Отказ,9
